Player_Id,Year,Team,Games_Played,Receptions,Yards,Average,Long,TDs,First_Downs,First_Down_Percentage,Receptions_Over_Twenty_Yards,Receptions_Over_Forty_Yards,Fantasy_Reception_Points,Fantasy_RecivingYD_Points,Fantasy_ReceptionTD_Points,Fantasy_Standard_Reciving_Total
tavon-austin,2013,St.LouisRams,13,40,418,10.5,81,4,17,42.5,5,2,40,41.8,24,65.8
tavon-austin,2014,St.LouisRams,15,31,242,7.8,28,0,12,38.71,2,0,31,24.2,0,24.2
tavon-austin,2015,St.LouisRams,16,52,473,9.1,66,5,21,40.38,5,2,52,47.3,30,77.3
tavon-austin,2016,LosAngelesRams,15,58,509,8.8,43,3,25,43.1,6,1,58,50.9,18,68.9
tavon-austin,2017,LosAngelesRams,16,13,47,3.6,13,0,2,15.38,0,0,13,4.7,0,4.7
tavon-austin,2018,DallasCowboys,7,8,140,17.5,64,2,5,62.5,2,2,8,14,12,26
tavon-austin,2019,DallasCowboys,14,13,177,13.6,59,1,8,61.54,2,1,13,17.7,6,23.7
tavon-austin,2020,GreenBayPackers,4,5,20,4,7,0,1,20,0,0,5,2,0,2
antony-auclair,2017,TampaBayBuccaneers,8,2,25,12.5,14,0,2,100,0,0,2,2.5,0,2.5
antony-auclair,2018,TampaBayBuccaneers,16,7,48,6.9,12,0,1,14.29,0,0,7,4.8,0,4.8
antony-auclair,2019,TampaBayBuccaneers,8,1,11,11,11,0,1,100,0,0,1,1.1,0,1.1
antony-auclair,2020,TampaBayBuccaneers,8,0,0,0,0,0,0,0,0,0,0,0,0,0
marcell-ateman,2018,OaklandRaiders,7,15,154,10.3,32,1,7,46.67,2,0,15,15.4,6,21.4
marcell-ateman,2019,OaklandRaiders,11,5,116,23.2,36,0,3,60,3,0,5,11.6,0,11.6
marcell-ateman,2020,LasVegasRaiders,0,0,0,0,0,0,0,0,0,0,0,0,0,0
devin-asiasi,2020,NewEnglandPatriots,9,2,39,19.5,26,1,2,100,1,0,2,3.9,6,9.9
dan-arnold,2018,NewOrleansSaints,10,12,150,12.5,25,1,9,75,4,0,12,15,6,21
dan-arnold,2019,ArizonaCardinals,5,8,127,15.9,37,2,6,75,3,0,8,12.7,12,24.7
dan-arnold,2020,ArizonaCardinals,16,31,438,14.1,59,4,24,77.42,8,2,31,43.8,24,67.8
ryquell-armstead,2019,JacksonvilleJaguars,16,14,144,10.3,31,2,9,64.29,2,0,14,14.4,12,26.4
ryquell-armstead,2020,JacksonvilleJaguars,0,0,0,0,0,0,0,0,0,0,0,0,0,0
alex-armah,2017,CarolinaPanthers,9,0,0,0,0,0,0,0,0,0,0,0,0,0
alex-armah,2018,CarolinaPanthers,16,1,5,5,5,0,0,0,0,0,1,0.5,0,0.5
alex-armah,2019,CarolinaPanthers,16,2,6,3,4,0,0,0,0,0,2,0.6,0,0.6
alex-armah,2020,CarolinaPanthers,16,5,18,3.6,14,0,1,20,0,0,5,1.8,0,1.8
j-j-arcega-whiteside,2019,PhiladelphiaEagles,16,10,169,16.9,30,1,7,70,4,0,10,16.9,6,22.9
j-j-arcega-whiteside,2020,PhiladelphiaEagles,8,4,85,21.3,37,0,4,100,2,0,4,8.5,0,8.5
mark-andrews,2018,BaltimoreRavens,16,34,552,16.2,74,3,28,82.35,8,2,34,55.2,18,73.2
mark-andrews,2019,BaltimoreRavens,15,64,852,13.3,51,10,44,68.75,16,1,64,85.2,60,145.2
mark-andrews,2020,BaltimoreRavens,14,58,701,12.1,39,7,37,63.79,10,0,58,70.1,42,112.1
stephen-anderson,2016,HoustonTexans,13,11,93,8.5,14,1,6,54.55,0,0,11,9.3,6,15.3
stephen-anderson,2017,HoustonTexans,15,25,342,13.7,42,1,17,68,5,1,25,34.2,6,40.2
stephen-anderson,2018,NewEnglandPatriots,0,0,0,0,0,0,0,0,0,0,0,0,0,0
stephen-anderson,2019,LosAngelesChargers,1,0,0,0,0,0,0,0,0,0,0,0,0,0
stephen-anderson,2020,LosAngelesChargers,16,8,106,13.3,23,0,7,87.5,1,0,8,10.6,0,10.6
robby-anderson,2016,NewYorkJets,16,42,587,14,52,2,18,42.86,10,4,42,58.7,12,70.7
robby-anderson,2017,NewYorkJets,16,63,941,14.9,69,7,36,57.14,17,3,63,94.1,42,136.1
robby-anderson,2018,NewYorkJets,14,50,752,15,76,6,30,60,10,2,50,75.2,36,111.2
robby-anderson,2019,NewYorkJets,16,52,779,15,92,5,35,67.31,13,2,52,77.9,30,107.9
robby-anderson,2020,CarolinaPanthers,16,95,1096,11.5,75,3,49,51.58,16,2,95,109.6,18,127.6
danny-amendola,2009,St.LouisRams,14,43,326,7.6,25,1,20,46.51,1,0,43,32.6,6,38.6
danny-amendola,2010,St.LouisRams,16,85,689,8.1,36,3,35,41.18,2,0,85,68.9,18,86.9
danny-amendola,2011,St.LouisRams,1,5,45,9,18,0,3,60,0,0,5,4.5,0,4.5
danny-amendola,2012,St.LouisRams,11,63,666,10.6,56,3,38,60.32,5,2,63,66.6,18,84.6
danny-amendola,2013,NewEnglandPatriots,12,54,633,11.7,57,2,37,68.52,8,1,54,63.3,12,75.3
danny-amendola,2014,NewEnglandPatriots,16,27,200,7.4,21,1,12,44.44,1,0,27,20,6,26
danny-amendola,2015,NewEnglandPatriots,14,65,648,10,41,3,32,49.23,5,1,65,64.8,18,82.8
danny-amendola,2016,NewEnglandPatriots,12,23,243,10.6,32,4,14,60.87,1,0,23,24.3,24,48.3
danny-amendola,2017,NewEnglandPatriots,15,61,659,10.8,27,2,39,63.93,7,0,61,65.9,12,77.9
danny-amendola,2018,MiamiDolphins,15,59,575,9.8,39,1,27,45.76,4,0,59,57.5,6,63.5
danny-amendola,2019,DetroitLions,15,62,678,10.9,47,1,36,58.06,6,2,62,67.8,6,73.8
danny-amendola,2020,DetroitLions,14,46,602,13.1,50,0,30,65.22,8,1,46,60.2,0,60.2
tyson-alualu,2010,JacksonvilleJaguars,16,0,0,0,0,0,0,0,0,0,0,0,0,0
tyson-alualu,2011,JacksonvilleJaguars,16,0,0,0,0,0,0,0,0,0,0,0,0,0
tyson-alualu,2012,JacksonvilleJaguars,16,0,0,0,0,0,0,0,0,0,0,0,0,0
tyson-alualu,2013,JacksonvilleJaguars,16,0,0,0,0,0,0,0,0,0,0,0,0,0
tyson-alualu,2014,JacksonvilleJaguars,16,0,0,0,0,0,0,0,0,0,0,0,0,0
tyson-alualu,2015,JacksonvilleJaguars,16,2,19,9.5,16,0,2,100,0,0,2,1.9,0,1.9
tyson-alualu,2016,JacksonvilleJaguars,14,0,0,0,0,0,0,0,0,0,0,0,0,0
tyson-alualu,2017,PittsburghSteelers,16,0,0,0,0,0,0,0,0,0,0,0,0,0
tyson-alualu,2018,PittsburghSteelers,15,0,0,0,0,0,0,0,0,0,0,0,0,0
tyson-alualu,2019,PittsburghSteelers,16,0,0,0,0,0,0,0,0,0,0,0,0,0
tyson-alualu,2020,PittsburghSteelers,15,0,0,0,0,0,0,0,0,0,0,0,0,0
geronimo-allison,2016,GreenBayPackers,10,12,202,16.8,39,2,11,91.67,3,0,12,20.2,12,32.2
geronimo-allison,2017,GreenBayPackers,15,23,253,11,72,0,10,43.48,1,1,23,25.3,0,25.3
geronimo-allison,2018,GreenBayPackers,5,20,303,15.2,64,2,11,55,4,1,20,30.3,12,42.3
geronimo-allison,2019,GreenBayPackers,16,34,287,8.4,31,2,16,47.06,3,0,34,28.7,12,40.7
geronimo-allison,2020,DetroitLions,0,0,0,0,0,0,0,0,0,0,0,0,0,0
keenan-allen,2013,SanDiegoChargers,15,71,1046,14.7,43,8,54,76.06,16,1,71,104.6,48,152.6
keenan-allen,2014,SanDiegoChargers,14,77,783,10.2,35,4,41,53.25,6,0,77,78.3,24,102.3
keenan-allen,2015,SanDiegoChargers,8,67,725,10.8,38,4,34,50.75,8,0,67,72.5,24,96.5
keenan-allen,2016,SanDiegoChargers,1,6,63,10.5,15,0,5,83.33,0,0,6,6.3,0,6.3
keenan-allen,2017,LosAngelesChargers,16,102,1393,13.7,51,6,74,72.55,18,4,102,139.3,36,175.3
