Player_Id,Year,Fumbles,Rushing_Yards,Receiving_Yards,Rushing_TD,Receptions,Recieving_TD,Fantasy_Reception_Points,Fantasy_Rushing_Points,Fantasy_Standard_Reciving_Points,Total_Standard,Total_PPR
christian-mccaffrey,2019,1,1387,1005,15,116,4,116,228.7,124.5,352.2,468.2
christian-mccaffrey,2018,1,1387,867,15,107,6,107,228.7,122.7,350.4,457.4
david-johnson,2016,5,1239,879,16,80,4,80,219.9,111.9,326.8,406.79999999999995
todd-gurley,2017,0,1251,788,17,64,6,64,227.1,114.8,341.9,405.90000000000003
christian-mccaffrey,2017,1,1387,651,15,80,5,80,228.7,95.1,322.79999999999995,402.79999999999995
ezekiel-elliott,2018,5,1631,567,15,77,3,77,253.1,74.7,322.8,399.8
christian-mccaffrey,2019,2,1098,1005,7,116,4,116,151.8,124.5,274.3,390.3
saquon-barkley,2018,0,1307,721,11,91,4,91,196.7,96.1,292.79999999999995,383.79999999999995
antonio-brown,2015,0,41,1834,0,136,10,136,4.1,243.4,247.5,383.5
todd-gurley,2017,5,1305,788,13,64,6,64,208.5,114.8,318.3,382.3
antonio-brown,2015,0,28,1834,0,136,10,136,2.8,243.4,246.20000000000002,382.20000000000005
antonio-brown,2015,0,24,1834,0,136,10,136,2.4,243.4,245.8,381.8
alvin-kamara,2017,1,932,826,16,81,5,81,189.2,112.6,300.79999999999995,381.79999999999995
lesean-mccoy,2010,1,1309,592,17,78,2,78,232.9,71.2,303.1,381.09999999999997
antonio-brown,2014,0,41,1698,0,129,13,129,4.1,247.8,251.9,380.9
antonio-brown,2015,0,13,1834,0,136,10,136,1.3,243.4,244.70000000000002,380.70000000000005
antonio-brown,2015,0,9,1834,0,136,10,136,0.9,243.4,244.3,380.3
antonio-brown,2015,0,5,1834,0,136,10,136,0.5,243.4,243.9,379.9
antonio-brown,2015,0,4,1834,0,136,10,136,0.4,243.4,243.8,379.8
antonio-brown,2014,0,28,1698,0,129,13,129,2.8,247.8,250.60000000000002,379.6
christian-mccaffrey,2018,2,1098,867,7,107,6,107,151.8,122.7,272.5,379.5
antonio-brown,2014,0,24,1698,0,129,13,129,2.4,247.8,250.20000000000002,379.20000000000005
antonio-brown,2014,0,13,1698,0,129,13,129,1.3,247.8,249.10000000000002,378.1
antonio-brown,2014,0,9,1698,0,129,13,129,0.9,247.8,248.70000000000002,377.70000000000005
antonio-brown,2014,0,5,1698,0,129,13,129,0.5,247.8,248.3,377.3
antonio-brown,2014,0,4,1698,0,129,13,129,0.4,247.8,248.20000000000002,377.20000000000005
alvin-kamara,2020,1,932,756,16,83,5,83,189.2,105.6,293.79999999999995,376.79999999999995
julio-jones,2015,0,56,1871,0,136,8,136,5.6,235.1,240.7,376.7
michael-thomas,2019,0,1,1725,0,149,9,149,0.1,226.5,226.6,375.6
julio-jones,2015,0,30,1871,0,136,8,136,3,235.1,238.1,374.1
julio-jones,2015,0,15,1871,0,136,8,136,1.5,235.1,236.6,372.6
julio-jones,2015,0,12,1871,0,136,8,136,1.2,235.1,236.29999999999998,372.29999999999995
julio-jones,2015,0,7,1871,0,136,8,136,0.7,235.1,235.79999999999998,371.79999999999995
julio-jones,2015,0,1,1871,0,136,8,136,0.1,235.1,235.2,371.2
le-veon-bell,2014,0,1361,854,8,83,3,83,184.1,103.4,287.5,370.5
todd-gurley,2018,0,1251,580,17,59,4,59,227.1,82,309.1,368.1
le-veon-bell,2014,2,1291,854,9,83,3,83,183.1,103.4,284.5,367.5
alvin-kamara,2017,0,883,826,14,81,5,81,172.3,112.6,284.9,365.9
adrian-peterson,2009,3,2097,436,12,43,0,43,281.7,43.6,322.3,365.3
alvin-kamara,2018,1,932,709,16,81,4,81,189.2,94.9,283.1,364.1
lesean-mccoy,2010,1,1607,592,9,78,2,78,214.7,71.2,284.9,362.9
alvin-kamara,2020,0,883,756,14,83,5,83,172.3,105.6,277.9,360.9
ezekiel-elliott,2018,3,1357,567,12,77,3,77,207.7,74.7,279.4,356.4
ezekiel-elliott,2019,5,1631,420,15,54,2,54,253.1,54,302.1,356.1
adrian-peterson,2010,3,2097,341,12,36,1,36,281.7,40.1,318.8,354.8
dalvin-cook,2019,4,1557,519,16,53,0,53,251.7,51.9,299.59999999999997,352.59999999999997
derrick-henry,2019,3,2027,206,17,18,2,18,304.7,32.6,334.3,352.3
le-veon-bell,2014,3,1268,854,7,83,3,83,168.8,103.4,269.20000000000005,352.20000000000005
tyreek-hill,2018,0,267,1479,3,87,12,87,44.7,219.9,264.6,351.6
lesean-mccoy,2010,3,1267,592,13,78,2,78,204.7,71.2,272.9,350.9
lesean-mccoy,2013,1,1309,539,17,52,2,52,232.9,65.9,297.8,349.79999999999995
tyreek-hill,2020,0,267,1276,3,87,15,87,44.7,217.6,262.3,349.29999999999995
alvin-kamara,2018,0,883,709,14,81,4,81,172.3,94.9,267.20000000000005,348.20000000000005
lesean-mccoy,2017,1,1309,448,17,59,2,59,232.9,56.8,288.7,347.7
le-veon-bell,2017,0,1361,655,8,85,2,85,184.1,77.5,261.6,346.6
todd-gurley,2017,3,1106,788,10,64,6,64,170.6,114.8,282.4,346.4
adrian-peterson,2012,3,2097,217,12,40,1,40,281.7,27.7,306.4,346.4
ezekiel-elliott,2020,5,1631,338,15,52,2,52,253.1,45.8,293.9,345.90000000000003
todd-gurley,2018,5,1305,580,13,59,4,59,208.5,82,285.5,344.5
le-veon-bell,2017,2,1291,655,9,85,2,85,183.1,77.5,258.6,343.6
lesean-mccoy,2012,1,1309,373,17,54,3,54,232.9,55.3,287.2,341.2
deandre-hopkins,2018,0,18,1572,0,115,11,115,1.8,223.2,225,340
demaryius-thomas,2014,0,5,1619,0,111,11,111,0.5,227.9,228.4,339.4
deandre-hopkins,2018,0,1,1572,0,115,11,115,0.1,223.2,223.29999999999998,338.29999999999995
demaryius-thomas,2014,1,1,1619,0,111,11,111,0.1,227.9,227,338
stefon-diggs,2020,0,62,1535,0,127,8,127,6.2,201.5,207.7,334.7
stefon-diggs,2020,0,61,1535,0,127,8,127,6.1,201.5,207.6,334.6
julio-jones,2018,0,56,1677,0,113,8,113,5.6,215.7,221.29999999999998,334.29999999999995
dalvin-cook,2020,4,1557,361,16,44,1,44,251.7,42.1,289.8,333.8
todd-gurley,2017,3,857,788,12,64,6,64,157.7,114.8,269.5,333.5
le-veon-bell,2016,0,1361,616,8,75,2,75,184.1,73.6,257.7,332.70000000000005
derrick-henry,2017,3,2027,136,17,11,1,11,304.7,19.6,321.3,332.3
odell-beckham,2015,0,72,1450,1,96,13,96,13.2,223,236.2,332.2
derrick-henry,2020,3,2027,114,17,19,0,19,304.7,11.4,313.09999999999997,332.09999999999997
julio-jones,2018,0,30,1677,0,113,8,113,3,215.7,218.7,331.7
lesean-mccoy,2013,1,1607,539,9,52,2,52,214.7,65.9,279.6,331.6
tyreek-hill,2018,0,123,1479,2,87,12,87,24.3,219.9,244.20000000000002,331.2
deandre-hopkins,2015,0,18,1521,0,111,11,111,1.8,218.1,219.9,330.9
rob-gronkowski,2011,0,2,1327,1,90,17,90,6.2,234.7,240.89999999999998,330.9
adrian-peterson,2015,3,2097,222,12,30,0,30,281.7,22.2,300.9,330.9
adrian-peterson,2013,3,2097,171,12,29,1,29,281.7,23.1,301.8,330.8
adrian-peterson,2007,3,2097,268,12,19,1,19,281.7,32.8,311.5,330.5
julio-jones,2018,0,15,1677,0,113,8,113,1.5,215.7,217.2,330.2
dalvin-cook,2018,4,1557,305,16,40,2,40,251.7,42.5,290.2,330.2
julio-jones,2018,0,12,1677,0,113,8,113,1.2,215.7,216.89999999999998,329.9
stefon-diggs,2020,0,13,1535,0,127,8,127,1.3,201.5,202.8,329.8
stefon-diggs,2020,0,13,1535,0,127,8,127,1.3,201.5,202.8,329.8
le-veon-bell,2016,2,1291,616,9,75,2,75,183.1,73.6,254.7,329.70000000000005
stefon-diggs,2020,0,10,1535,0,127,8,127,1,201.5,202.5,329.5
lesean-mccoy,2017,1,1607,448,9,59,2,59,214.7,56.8,270.5,329.5
julio-jones,2018,0,7,1677,0,113,8,113,0.7,215.7,216.39999999999998,329.4
lesean-mccoy,2011,1,1309,315,17,48,3,48,232.9,49.5,281.4,329.4
deandre-hopkins,2015,0,1,1521,0,111,11,111,0.1,218.1,218.2,329.2
tyreek-hill,2020,0,123,1276,2,87,15,87,24.3,217.6,241.9,328.9
julio-jones,2018,0,1,1677,0,113,8,113,0.1,215.7,215.79999999999998,328.79999999999995
stefon-diggs,2020,0,1,1535,0,127,8,127,0.1,201.5,201.6,328.6
alvin-kamara,2019,1,932,533,16,81,1,81,189.2,59.3,247.5,328.5
derrick-henry,2016,3,2027,137,17,13,0,13,304.7,13.7,315.4,328.4
le-veon-bell,2017,3,1268,655,7,85,2,85,168.8,77.5,243.3,328.3
tyreek-hill,2018,0,151,1479,1,87,12,87,21.1,219.9,241,328
frank-gore,2006,5,1695,485,8,61,1,61,217.5,54.5,267,328
antonio-brown,2018,0,41,1297,0,104,15,104,4.1,219.7,223.79999999999998,327.79999999999995
david-johnson,2018,5,1239,446,16,50,3,50,219.9,62.6,277.5,327.5
adrian-peterson,2009,6,1383,436,18,43,0,43,246.3,43.6,283.90000000000003,326.90000000000003
